Plate,MJD,Fiber,RAJ2000,DEJ2000,GLON,GLAT,gmag,u-g,g-r,D0_2,fm,cHg,bHg,d,r,x,y,z,HRV,e_HRV,Vgal,DR8,Sloan,SimbadName,spec.ra,spec.dec,spec.specObjID,spec.bestObjID,photo.objID,photo.u,photo.g,photo.r,photo.i,photo.z,photo.err_u,photo.err_g,photo.err_r,photo.err_i,photo.err_z,photo.dered_u,photo.dered_g,photo.dered_r,photo.dered_i,photo.dered_z,spp.TEFFANNRR,spp.TEFFANNRRIND,spp.TEFFANNRRUNC,spp.LOGGANNRR,spp.LOGGANNRRIND,spp.LOGGANNRRUNC,spp.FEHANNRR,spp.FEHANNRRIND,spp.FEHANNRRUNC
3141,55008,498,331.047393889,6.29242805556,66.235764,-37.543682,18.94,1.19,-0.07,22.86,0.25,0.86,9.17,46.6,44.7,-6.9,-33.8,-28.4,-115.8,7.7,46.4,DR8,Sloan,SDSS J220411.37+061732.6,331.04739,6.2924278,3536588580610744320,1237669762795045222,1237669762795045222,20.50868,19.18382,19.19304,19.23685,19.24447,0.05357501,0.009918137,0.01175372,0.01432457,0.04966185,20.15904,18.92656,19.00645,19.09536,19.14415,7767.328,1,100.929,3.288709,1,0.0803,-1.721608,2,0.0467
3141,55008,477,330.606933889,6.42941305556,66.000389,-37.124928,16.96,1.21,-0.12,26.3,0.23,0.93,9.65,19.1,18.2,1.8,-13.9,-11.6,-121.4,2.0,41.5,DR8,Sloan,SDSS J220225.66+062545.8,330.60694,6.4294128,3536582808174698496,1237669698370732054,1237669698370732054,18.47095,17.18365,17.24559,17.40098,17.32751,0.01704911,0.004442788,0.005100741,0.00607017,0.01511168,18.14124,16.94106,17.06964,17.26756,17.23291,8007.728,1,154.4919,2.997104,1,0.0337,-1.386679,2,0.0322
3141,55008,454,330.924956944,7.10857611111,66.898819,-36.909523,17.05,1.16,-0.14,27.42,0.2,0.94,9.45,20.0,19.1,1.7,-14.7,-12.0,-275.2,2.3,-110.8,DR8,Sloan,SDSS J220341.99+070630.8,330.92496,7.1085761,3536576485982838784,1237678845037641777,1237678845037641777,18.59904,17.3317,17.40498,17.47453,17.50145,0.0163276,0.005043454,0.005770409,0.006402458,0.01329555,18.21772,17.05112,17.20148,17.32022,17.39204,8144.712,1,130.7606,3.243634,1,0.0391,-1.685079,2,0.0316
3141,55008,449,330.812133889,7.42537694444,67.099251,-36.614384,16.05,1.14,-0.17,26.18,0.22,1.06,9.72,12.6,12.6,4.1,-9.3,-7.5,4.8,1.3,170.1,DR8,Sloan,SDSS J220314.91+072531.2,330.81213,7.4253775,3536575111593304064,1237678853627117596,1237678853627117596,17.51955,16.31227,16.44185,16.56879,16.61656,0.01019401,0.004066214,0.004636745,0.005429291,0.008858017,17.14536,16.03694,16.24216,16.41737,16.5092,8203.331,1,185.225,2.956837,1,0.0388,-1.654977,1,0.0318
3141,55008,432,330.167633056,6.32159611111,65.538742,-36.867428,18.35,1.25,-0.14,25.37,0.16,0.97,9.92,36.4,34.6,-4.1,-26.5,-21.8,-159.2,4.7,3.8,DR8,Sloan,SDSS J220040.22+061917.7,330.16762,6.3215963,3536570438668886016,1237669762794652085,1237669762794652085,19.92318,18.59744,18.66753,18.7528,18.67192,0.03728044,0.007841088,0.009248134,0.01115603,0.03214258,19.56966,18.33733,18.47887,18.60974,18.5705,8141.172,1,109.8641,3.290752,1,0.0432,-1.855521,1,0.0413
3141,55008,419,330.375885,7.41946194444,66.734512,-36.296391,16.39,1.21,-0.06,22.91,0.2,0.9,8.33,14.4,14.1,3.4,-10.6,-8.5,-171.1,1.9,-5.4,DR8,Sloan,SDSS J220130.20+072510.0,330.37587,7.4194624,3536566865256095744,1237678845574250592,1237678845574250592,17.89383,16.61666,16.59777,16.63515,16.63363,0.01180537,0.004725975,0.004881272,0.005596217,0.00866961,17.58096,16.38645,16.43081,16.50855,16.54386,7802.945,1,137.639,3.279334,1,0.0522,-2.206135,2,0.0431
3141,55008,401,330.380736944,7.12823694444,66.468353,-36.49371,19.12,1.24,-0.09,25.8,0.32,0.98,9.59,51.8,49.8,-8.6,-38.2,-30.8,-302.2,10.2,-137.3,DR8,Sloan,SDSS J220131.37+070741.6,330.38074,7.1282372,3536561917453770752,1237678845037379660,1237678845037379660,20.56976,19.36961,19.39635,19.4372,19.50844,0.05288186,0.01116297,0.01300857,0.01671568,0.05205604,20.22676,19.11724,19.21331,19.29841,19.41003,7902.127,1,168.8557,2.981117,1,0.1242,-1.671151,1,0.0447
3141,55008,365,330.155486944,7.23032805556,66.379021,-36.258785,16.51,1.18,-0.05,23.0,0.22,0.83,7.67,15.2,14.7,3.1,-11.2,-9.0,-185.1,1.8,-19.8,DR8,Sloan,SDSS J220037.31+071349.1,330.1555,7.2303279,3536552021849120768,1237678853626790037,1237678853626790037,18.07676,16.81464,16.80264,16.83014,16.84347,0.01331037,0.004278464,0.00520809,0.005825569,0.009797777,17.77666,16.59383,16.64249,16.7087,16.75736,7679.797,1,130.0022,3.278492,1,0.0489,-1.143109,2,0.0279
3141,55008,200,330.074493056,5.72678305556,64.899216,-37.186333,17.73,1.19,-0.1,25.55,0.27,0.89,9.19,27.3,25.7,-1.2,-19.7,-16.5,-187.9,3.3,-26.4,DR8,Sloan,SDSS J220017.93+054337.2,330.0745,5.7267831,3536506666994475008,1237669697296728302,1237669697296728302,18.85443,17.37094,17.14071,17.00547,16.92321,0.0221114,0.004683448,0.004698862,0.005267401,0.01198468,18.59219,17.17799,17.00077,16.89935,16.84797,7902.127,1,108.2879,3.518412,1,0.09,-1.3072,2,0.0632
3141,55008,97,330.79892,5.45810111111,65.236534,-37.907768,17.17,1.17,-0.15,27.41,0.24,1.01,10.44,21.1,20.0,1.0,-15.1,-13.0,-29.2,2.5,131.0,DR8,Sloan,SDSS J220311.74+052729.1,330.79892,5.4581014,3536478354570059776,1237669761721172081,1237669761721172081,18.69202,17.37276,17.49402,17.5932,17.63295,0.0180314,0.00527717,0.006563594,0.007354849,0.01493951,18.38454,17.14652,17.32993,17.46878,17.54473,8242.636,1,155.4579,3.298686,1,0.0574,-1.928565,1,0.0654
