PLATE,MJD,FIBER,RAJ2000,DEJ2000,GLON,GLAT,GMAG,U_G,G_R,D0_2,FM,CHG,BHG,D,R,X,Y,Z,HRV,E_HRV,VGAL,DR8,SLOAN,SIMBADNAME
2222,53799,44,177.329833889,28.4685419444,203.754669,76.207062,15.24,1.05,-0.26,23.93,0.24,1.09,10.01,8.5,12.9,9.8,0.8,8.2,102.9,2.0,86.1,DR8,Sloan,SDSS J114919.15+282806.6
2893,54552,271,181.022613889,19.7954711111,244.482727,76.909843,14.93,1.1,-0.2,25.49,0.23,1.04,10.07,7.3,11.4,8.7,1.5,7.1,-205.2,1.3,-245.2,DR8,Sloan,SDSS J120405.42+194743.7
3180,54864,130,183.075408889,28.4339138889,202.090515,81.248383,15.98,1.21,-0.2,26.61,0.24,1.07,10.59,12.2,15.5,9.7,0.7,12.1,40.6,2.3,33.4,DR8,Sloan,SDSS J121218.09+282602.1
2004,53737,63,183.75647,32.038925,178.928802,80.690063,15.48,1.19,-0.22,25.53,0.23,0.98,10.21,9.7,13.5,9.6,0.0,9.5,-88.4,2.0,-82.2,DR8,Sloan,SDSS J121501.55+320220.1
3180,54864,110,183.776276111,28.9367069444,198.109024,81.783401,16.05,1.23,-0.18,26.47,0.24,0.92,9.83,12.6,15.8,9.7,0.6,12.5,-45.1,2.1,-49.3,DR8,Sloan,SDSS J121506.30+285612.1
2645,54477,402,183.998443889,23.2661019444,236.712311,81.103989,15.46,1.19,-0.18,26.87,0.22,1.0,9.99,9.6,13.0,8.8,1.2,9.5,61.9,2.3,39.1,DR8,Sloan,SDSS J121559.62+231557.9
1999,53503,260,184.000275,33.1489561111,172.608353,80.262947,15.26,1.13,-0.03,23.55,0.29,0.85,9.27,8.6,12.7,9.4,-0.2,8.4,39.8,2.7,50.1,DR8,Sloan,SDSS J121600.06+330856.2
3180,54864,612,184.223633056,30.0691011111,189.700699,81.870438,15.92,1.17,-0.08,26.1,0.22,0.9,8.94,11.6,15.0,9.6,0.3,11.5,59.2,1.9,59.6,DR8,Sloan,SDSS J121653.67+300408.7
3172,54863,451,184.337676944,21.06975,249.035095,80.145554,15.52,1.15,-0.09,25.71,0.24,0.9,8.76,9.9,13.1,8.6,1.6,9.7,-129.4,1.8,-158.9,DR8,Sloan,SDSS J121721.04+210411.1
2232,53827,275,184.501861944,29.86064,190.565002,82.165657,15.94,0.86,-0.35,19.29,0.28,1.18,8.28,10.7,14.2,9.4,0.3,10.6,-166.9,2.5,-166.7,DR8,Sloan,SDSS J121800.44+295138.2
