Plate,MJD,Fiber,RAJ2000,DEJ2000,GLON,GLAT,gmag,u-g,g-r,D0_2,fm,cHg,bHg,d,r,x,y,z,HRV,e_HRV,Vgal,DR8,Sloan,SimbadName,spec.ra,spec.dec,spec.specObjID,spec.bestObjID,photo.objID,photo.u,photo.g,photo.r,photo.i,photo.z,photo.err_u,photo.err_g,photo.err_r,photo.err_i,photo.err_z,photo.dered_u,photo.dered_g,photo.dered_r,photo.dered_i,photo.dered_z,spp.TEFFANNRR,spp.TEFFANNRRIND,spp.TEFFANNRRUNC,spp.LOGGANNRR,spp.LOGGANNRRIND,spp.LOGGANNRRUNC,spp.FEHANNRR,spp.FEHANNRRIND,spp.FEHANNRRUNC
3331,54977,395,179.077743889,48.2011380556,146.253342,66.354698,18.2,1.25,-0.17,24.58,0.24,0.85,8.46,33.9,37.4,19.3,-7.6,31.1,-30.9,4.9,22.5,DR8,Sloan,SDSS J115618.65+481204.3,179.07774,48.201138,3750481249966333952,1237661358616412323,1237661358616412323,19.54888,18.31968,18.38905,18.52013,18.55278,0.02983951,0.006535255,0.007764804,0.010662,0.03064282,19.42045,18.22518,18.32051,18.46816,18.51594,7857.52,1,145.9546,3.222118,1,0.0771,-1.015198,1,0.0582
3331,54977,392,179.172973889,47.7971119444,146.656464,66.730927,15.51,1.21,-0.21,26.85,0.22,1.02,9.85,9.8,14.5,11.2,-2.1,9.0,-155.1,1.5,-102.9,DR8,Sloan,SDSS J115641.51+474749.6,179.17297,47.797112,3750480425332613120,1237661358079541279,1237661358079541279,16.87429,15.62731,15.7818,15.93036,16.01044,0.00682427,0.003376306,0.003664542,0.004213128,0.006406184,16.72469,15.51723,15.70196,15.86982,15.96752,8210.465,1,191.1295,2.969578,1,0.0379,-1.780125,2,0.024
3331,54977,312,178.388641111,47.1413269444,148.701843,66.986,16.71,1.03,-0.18,24.31,0.22,1.07,9.79,16.7,20.8,13.6,-3.4,15.4,83.8,2.6,132.8,DR8,Sloan,SDSS J115333.27+470828.7,178.38864,47.141327,3750458435100057600,1237660635465318414,1237660635465318414,17.9215,16.74754,16.97261,17.161,17.24956,0.01121809,0.004060607,0.004819166,0.005815044,0.0135298,17.75531,16.62526,16.88393,17.09375,17.20188,8199.767,1,124.0627,2.978473,1,0.0619,-1.953384,1,0.0573
3331,54977,229,179.109603889,47.2346688889,147.523392,67.181519,16.07,1.15,-0.2,26.71,0.22,1.02,10.18,12.7,17.1,12.2,-2.7,11.7,41.9,1.9,92.2,DR8,Sloan,SDSS J115626.30+471404.8,179.10961,47.234669,3750435620233781248,1237660635465515057,1237660635465515057,17.33876,16.13304,16.33669,16.50118,16.60942,0.008560038,0.003596884,0.004388411,0.004899347,0.00926743,17.22443,16.04892,16.27567,16.45492,16.57662,8256.97,1,169.2039,3.064536,1,0.0349,-1.571145,2,0.0314
3331,54977,268,178.539031944,47.413975,148.095062,66.818413,18.4,1.12,-0.28,23.12,0.28,1.12,10.08,36.2,39.6,20.1,-7.5,33.3,-122.1,7.2,-72.0,DR8,Sloan,SDSS J115409.36+472450.3,178.53903,47.413973,3750446340472152064,1237661357542474000,1237661357542474000,19.59422,18.48816,18.74094,18.92037,19.03619,0.0300543,0.00692633,0.009155652,0.01292164,0.04763156,19.45238,18.3838,18.66525,18.86298,18.9955,8239.055,1,166.8965,3.183174,1,0.0912,-2.351419,2,0.0581
3329,54970,533,174.29158,48.2038230556,152.411743,64.452896,17.03,1.17,-0.23,27.3,0.22,1.05,10.37,19.8,24.0,15.6,-3.9,17.8,-177.8,3.3,-130.1,DR8,Sloan,SDSS J113709.97+481213.7,174.29158,48.203822,3748267383186366464,1237660637074751534,1237660637074751534,18.34094,17.10408,17.29073,17.44443,17.51155,0.01503711,0.004235954,0.004962522,0.006340516,0.01625269,18.2398,17.02967,17.23676,17.4035,17.48253,8235.475,1,168.7371,3.130165,1,0.0452,-2.096927,1,0.0717
3329,54970,111,174.313353889,46.9829330556,154.310272,65.371063,16.19,1.22,-0.11,25.51,0.23,0.96,9.76,13.4,18.0,13.0,-2.4,12.2,-176.4,2.3,-132.9,DR8,Sloan,SDSS J113715.20+465858.5,174.31336,46.982932,3748151384709636096,1237660635464073277,1237660635464073277,17.49411,16.25091,16.36878,16.48859,16.55731,0.009222657,0.003524011,0.004035917,0.004421338,0.009210563,17.39344,16.17684,16.31506,16.44785,16.52843,8077.703,1,155.9215,3.171754,1,0.021,-1.571706,2,0.0253
3305,54945,634,187.806106944,54.2407838889,129.361511,62.634407,17.73,1.16,-0.01,22.08,0.24,0.81,7.57,26.7,30.0,15.8,-9.5,23.7,31.4,4.3,114.9,DR8,Sloan,SDSS J123113.45+541426.9,187.8061,54.240783,3721273547671314432,1237658800964960341,1237658800964960341,18.91956,17.76178,17.79201,17.8582,17.91544,0.02242859,0.005652875,0.006278529,0.007623477,0.01880054,18.84349,17.70581,17.75141,17.82742,17.89362,7570.047,1,114.0095,3.689456,1,0.0554,-0.8839555,2,0.0428
3305,54945,11,187.139571944,53.9058838889,130.335297,62.892258,17.07,1.21,-0.2,26.42,0.24,0.97,10.37,20.1,23.7,13.9,-7.0,17.9,-322.2,4.4,-240.5,DR8,Sloan,SDSS J122833.48+535421.3,187.13957,53.905883,3721102298735288320,1237658800427958276,1237658800427958276,18.36195,17.11169,17.30043,17.44714,17.53333,0.01528086,0.004685355,0.005148292,0.006210687,0.01563115,18.28183,17.05274,17.25767,17.41472,17.51034,8201.552,1,127.9095,3.232696,1,0.0717,-1.78937,1,0.0592
3305,54945,31,187.558075,54.0209238889,129.757904,62.825386,15.99,1.14,-0.01,19.72,0.28,0.84,7.41,12.0,16.2,11.5,-4.2,10.7,-166.5,2.5,-83.9,DR8,Sloan,SDSS J123013.93+540115.5,187.55807,54.020924,3721107796293427200,1237658916383096864,1237658916383096864,17.23868,15.99573,16.01195,16.04745,16.1002,0.008236485,0.003713249,0.004006333,0.004369927,0.006723864,17.13602,15.9202,15.95717,16.0059,16.07075,7545.315,1,118.8603,3.230893,1,0.0547,-1.62562,2,0.0409
