[spec.ra, spec.dec, spec.specObjID, spec.bestObjID, photo.objID, spp.TEFFHA24, spp.TEFFHA24IND, spp.TEFFHA24UNC, spp.TEFFHD24, spp.TEFFHD24IND, spp.TEFFHD24UNC]
[330.79892, 5.4581014, 3536478354570059776, 1237669761721172081, 1237669761721172081, 7665.723, 0, 35.88613, 7777.531, 0, 16.0986]
[330.0745, 5.7267831, 3536506666994475008, 1237669697296728302, 1237669697296728302, 7282.076, 0, 38.37609, 7633.103, 0, 20.5276]
[330.16762, 6.3215963, 3536570438668886016, 1237669762794652085, 1237669762794652085, 7562.279, 0, 58.08914, 7691.993, 0, 25.01896]
[330.38074, 7.1282372, 3536561917453770752, 1237678845037379660, 1237678845037379660, 7263.251, 0, 106.2588, 7680.749, 0, 52.35073]
[330.37587, 7.4194624, 3536566865256095744, 1237678845574250592, 1237678845574250592, 7251.292, 0, 29.199, 7480.104, 0, 13.48238]
[330.1555, 7.2303279, 3536552021849120768, 1237678853626790037, 1237678853626790037, 7314.768, 0, 30.01866, 7497.08, 0, 13.8031]
[330.60694, 6.4294128, 3536582808174698496, 1237669698370732054, 1237669698370732054, 7636.83, 0, 33.002, 7694.606, 0, 13.13856]
[331.04739, 6.2924278, 3536588580610744320, 1237669762795045222, 1237669762795045222, 7369.762, 0, 92.87512, 7475.614, 0, 38.2141]
[330.92496, 7.1085761, 3536576485982838784, 1237678845037641777, 1237678845037641777, 7630.704, 0, 35.16388, 7736.427, 0, 14.22988]
[330.81213, 7.4253775, 3536575111593304064, 1237678853627117596, 1237678853627117596, 7755.958, 0, 27.05025, 7781.481, 0, 9.902354]
[241.18431, 35.821748, 3915893978792304640, 1237662301908172849, 1237662301908172849, 7691.579, 0, 43.66064, 7722.333, 0, 17.9171]
[241.63485, 36.330692, 3915899476350443520, 1237662500543791166, 1237662500543791166, 7581.331, 0, 40.66175, 7658.519, 0, 16.03407]
[239.16271, 36.155626, 3915955001687646208, 1237662300833775732, 1237662300833775732, 7540.645, 0, 59.42438, 7565.609, 0, 29.8595]
[239.80662, 35.672682, 3915951153396948992, 1237662300834103336, 1237662300834103336, 7440.142, 0, 77.41415, 7508.999, 0, 45.98164]
[239.62912, 36.412631, 3915943181937647616, 1237662301370712106, 1237662301370712106, 7709.121, 0, 40.02703, 7733.007, 0, 16.24137]
[240.30682, 36.49534, 3915927239019044864, 1237662301907714150, 1237662301907714150, 7775.838, 0, 50.19361, 7728.151, 0, 20.69346]
[240.18534, 36.963518, 3915998707274850304, 1237662302444453931, 1237662302444453931, 7681.193, 0, 37.3302, 7749.772, 0, 13.90698]
[240.0022, 37.728314, 3915981389966712832, 1237662302981062782, 1237662302981062782, 7799.406, 0, 38.03134, 7777.115, 0, 13.9763]
[241.40501, 37.247166, 3916035540914380800, 1237662303518392471, 1237662303518392471, 7820.068, 0, 47.49622, 7769.444, 0, 17.47789]
[242.00618, 36.568537, 3916043237495775232, 1237662501080662081, 1237662501080662081, 7183.293, 0, 56.9241, 7255.926, 0, 27.02069]
[245.69169, 30.283576, 3894490335673425920, 1237662474232135716, 1237662474232135716, 7738.133, 0, 37.65879, 7746.835, 0, 15.84033]
[245.31713, 30.540813, 3894502430301331456, 1237665355617927296, 1237665355617927296, 7740.536, 0, 49.09219, 7780.786, 0, 20.27081]
[244.73749, 29.849661, 3894519197853655040, 1237661465453461595, 1237661465453461595, 7599.003, 0, 51.76107, 7667.818, 0, 25.09468]
[243.72766, 30.972915, 3894546960522256384, 1237661465989742602, 1237661465989742602, 7725.318, 0, 44.51105, 7758.561, 0, 18.70624]
[244.06842, 30.754621, 3894533766382723072, 1237661465989873729, 1237661465989873729, 7732.125, 0, 59.47446, 7777.126, 0, 24.87856]
[244.52998, 30.777354, 3894523046144352256, 1237662473694806038, 1237662473694806038, 7771.809, 0, 45.01973, 7778.699, 0, 18.86241]
[242.3429, 36.880586, 3916053407978332160, 1237659131681767605, 1237659131681767605, 7485.321, 0, 50.08073, 7610.606, 0, 22.95288]
[244.0902, 30.317382, 3894552732958302208, 1237661465453133901, 1237661465453133901, 7497.365, 0, 55.7136, 7570.281, 0, 26.37254]
[244.03792, 30.183494, 3894552458080395264, 1237661465453133961, 1237661465453133961, 7653.021, 0, 41.60035, 7722.635, 0, 18.0495]
[245.96711, 31.973605, 3894662134365265920, 1237662499472474206, 1237662499472474206, 7810.345, 0, 40.56647, 7776.756, 0, 16.03983]
[189.81038, 34.198835, 3822432741585166336, 1237665127471972389, 1237665127471972389, 7684.707, 0, 42.30319, 7760.999, 0, 17.65993]
[189.71181, 35.151007, 3822449784015396864, 1237665025443627175, 1237665025443627175, 7627.092, 0, 39.59058, 7705.35, 0, 15.5527]
[243.48006, 31.83679, 3894584893673414656, 1237662503758921869, 1237662503758921869, 7766.99, 0, 39.19196, 7799.652, 0, 15.45035]
[243.94636, 31.906501, 3894594239522250752, 1237662504295923772, 1237662504295923772, 7763.372, 0, 39.59516, 7792.59, 0, 15.13637]
[190.12596, 35.25844, 3822591895893286912, 1237665025443758179, 1237665025443758179, 7358.921, 0, 49.31054, 7559.648, 0, 20.07882]
[189.06479, 34.951686, 3822459679620046848, 1237665128545386527, 1237665128545386527, 7643.131, 0, 49.75253, 7766.428, 0, 22.02977]
[245.39564, 32.111666, 3894649489981546496, 1237662301373530152, 1237662301373530152, 7782.009, 0, 42.76152, 7798.215, 0, 16.80032]
[244.56169, 31.76162, 3894615405121085440, 1237662474768220515, 1237662474768220515, 7717.061, 0, 77.18526, 7633.71, 0, 32.03289]
